CardID,Folder,Spec,Manufacturer,Sample_Name,Pattern,Standard,Replicate,Extension
temp_specs,spec0_0002,SPECTRUM0031,korea,graysquares,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0032,korea,graysquares,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0033,korea,graysquares,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0034,korea,graysquares,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0035,arnold,62,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0036,arnold,62,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0037,arnold,62,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0038,arnold,62,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0039,arnold,62,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0040,arnold,62,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0041,pennstate,psubfc1,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0042,pennstate,psubfc1,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0043,pennstate,psubfc1,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0044,pennstate,psubfc1,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0045,pennstate,psubfc1,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0046,pennstate,psubfc1,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0047,guardian,g3n20dots,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0048,guardian,g3n20dots,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0049,guardian,g3n20dots,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0050,guardian,g3n20dots,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0051,guardian,g3n20dots,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0052,guardian,g3n20dots,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0053,pilkington,one,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0054,pilkington,one,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0055,pilkington,one,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0056,pilkington,one,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0057,pilkington,one,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0058,pilkington,one,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0059,pilkington,two,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0060,pilkington,two,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0061,pilkington,two,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0062,pilkington,two,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0063,pilkington,two,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0064,pilkington,two,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0065,mcgrory,mgbp017,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0066,mcgrory,mgbp017,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0067,mcgrory,mgbp017,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0068,mcgrory,mgbp017,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0069,mcgrory,mgbp017,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0070,mcgrory,mgbp017,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0071,saintgobain,twoinchtape,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0072,saintgobain,twoinchtape,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0073,saintgobain,twoinchtape,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0074,saintgobain,twoinchtape,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0075,saintgobain,twoinchtape,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0076,saintgobain,twoinchtape,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0077,korea,blackwire,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0078,korea,blackwire,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0079,korea,blackwire,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0080,korea,blackwire,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0081,korea,blackwire,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0082,korea,blackwire,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0083,mcgrory,mgbp008,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0084,mcgrory,mgbp008,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0085,mcgrory,mgbp008,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0086,mcgrory,mgbp008,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0087,mcgrory,mgbp008,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0088,mcgrory,mgbp008,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0089,mcgrory,mgbp021,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0090,mcgrory,mgbp021,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0091,mcgrory,mgbp021,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0092,mcgrory,mgbp021,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0093,mcgrory,mgbp021,off,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0094,mcgrory,mgbp021,off,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0095,guardian,part2,on,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0096,guardian,part2,on,trans,2,jaz
temp_specs,spec0_0002,SPECTRUM0097,guardian,part2,on,trans,3,jaz
temp_specs,spec0_0002,SPECTRUM0098,guardian,part2,off,trans,1,jaz
temp_specs,spec0_0002,SPECTRUM0099,guardian,part2,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0000,guardian,part2,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0001,guardian,part3,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0002,guardian,part3,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0003,guardian,part3,on,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0004,guardian,part3,off,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0005,guardian,part3,off,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0006,guardian,part3,off,trans,3,jaz
temp_specs,spec0_0003,SPECTRUM0007,saintgobain,stg20211,on,trans,1,jaz
temp_specs,spec0_0003,SPECTRUM0008,saintgobain,stg20211,on,trans,2,jaz
temp_specs,spec0_0003,SPECTRUM0009,saintgobain,stg20211,on,trans,3,jaz
